Source title,CiteScore,Highest percentile,2010-13 Citations,2010-13 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Annual Review of Plant Biology,44.1,"99.0%
2/362
Plant Science",4935,112,97,7.826,13.569,Annual Reviews Inc.,15435008
MMWR Recommendations and Reports,30.6,"99.0%
1/221
Health (social science)",428,14,71,N/A,17.297,Centers for Disease Control and Prevention (CDC),#N/A
Trends in Ecology and Evolution,27.9,"99.0%
1/504
Ecology, Evolution, Behavior and Systematics",7936,284,93,5.11,10.756,Elsevier,1695347
Annual Review of Marine Science,27.4,"99.0%
1/109
Oceanography",2249,82,95,5.529,10.664,Annual Reviews Inc.,19411405
Annual Review of Entomology,27.1,"99.0%
2/504
Ecology, Evolution, Behavior and Systematics",2950,109,94,6.741,6.577,Annual Reviews Inc.,664170
Trends in Plant Science,24.1,"99.0%
3/362
Plant Science",7554,314,89,4.311,7.363,Elsevier,13601385
Living Reviews in Solar Physics,23.4,"98.0%
2/76
Space and Planetary Science",492,21,100,5.684,7.106,Springer Nature,16144961
Reviews of Geophysics,23.4,"99.0%
1/94
Geophysics",1685,72,94,5.942,9.544,Wiley-Blackwell,87551209
"Astrophysical Journal, Supplement Series",22.5,"96.0%
3/76
Space and Planetary Science",14437,643,86,3.26,7.464,Institute of Physics Publishing,670049
Molecular Systems Biology,22.4,"99.0%
1/399
Applied Mathematics",7479,334,91,2.957,9.995,Wiley-Blackwell,17444292
Systematic Biology,21.5,"99.0%
3/504
Ecology, Evolution, Behavior and Systematics",5229,243,93,4.839,9.288,Oxford University Press,10635157
Energy and Environmental Science,21.1,"99.0%
1/109
Renewable Energy, Sustainability and the Environment",33899,1608,92,2.982,6.019,Royal Society of Chemistry,17545692
Astronomy and Astrophysics Review,19.6,"95.0%
4/76
Space and Planetary Science",783,40,85,4.022,7.792,Springer Nature,9354956
Ecology Letters,19.6,"99.0%
4/504
Ecology, Evolution, Behavior and Systematics",9689,494,93,3.457,8.037,Wiley-Blackwell,1461023X
Molecular Biology and Evolution,19,"99.0%
5/504
Ecology, Evolution, Behavior and Systematics",20712,1089,90,5.443,6.86,Oxford University Press,7374038
Annual Review of Phytopathology,18.4,"99.0%
4/362
Plant Science",1787,97,86,4.635,6.047,Annual Reviews Inc.,664286
Nature Geoscience,18.2,"99.0%
1/167
General Earth and Planetary Sciences",12021,662,90,3.469,6.56,Springer Nature,17520894
Biological Reviews,17.9,"99.0%
2/157
General Agricultural and Biological Sciences",3533,197,94,4.134,5.879,Wiley-Blackwell,14647931
Morbidity and Mortality Weekly Report,17.4,"99.0%
2/221
Health (social science)",15710,901,77,4.647,5.981,US Department of Health and Human Services,1492195
Physics of Life Reviews,16.5,"98.0%
3/157
General Agricultural and Biological Sciences",774,47,100,2.851,0.977,Elsevier,15710645
PLoS Biology,16.4,"97.0%
4/157
General Agricultural and Biological Sciences",16953,1035,74,2.626,8.223,Public Library of Science,15449173
Current Opinion in Plant Biology,15.5,"98.0%
5/362
Plant Science",6188,400,85,2.181,5.75,Elsevier,13695266
Genome Biology,15.2,"98.0%
6/504
Ecology, Evolution, Behavior and Systematics",11007,722,78,2.405,8.598,Springer Nature,14747596
ISME Journal,15,"98.0%
7/504
Ecology, Evolution, Behavior and Systematics",11201,747,92,2.256,5.012,Springer Nature,17517362
