Source title,Publisher
Statistica Sinica,Academia Sinica
ACM Transactions on Intelligent Systems and Technology,ACM
ACM Computing Surveys,ACM
ACM Transactions on Graphics,ACM
Communications of the ACM,ACM
Journal of the ACM,ACM
ACM Transactions on the Web,ACM
ACM Transactions on Knowledge Discovery from Data,ACM
ACM Transactions on Mathematical Software,ACM
ACM Transactions on Software Engineering and Methodology,ACM
ACM Transactions on Sensor Networks,ACM
ACM Transactions on Information Systems,ACM
ACM Transactions on Database Systems,ACM
ACM Transactions on Programming Languages and Systems,ACM
ACM Transactions on Computer-Human Interaction,ACM
ACM Transactions on Applied Perception,ACM
SIGMOD Record,ACM
ACM Transactions on Accessible Computing,ACM
ACM Transactions on Autonomous and Adaptive Systems,ACM
ACM Transactions on Computer Systems,ACM
ACM Transactions on Computing Education,ACM
Communications of the Association for Information Systems,ACM
Journal of Experimental Algorithmics,ACM
ACM Transactions on Modeling and Computer Simulation,ACM
ACM Transactions on Internet Technology,ACM
ACM Transactions on Storage,ACM
ACM Transactions on Computational Logic,ACM
ACM Transactions on Algorithms,ACM
"ACM Transactions on Multimedia Computing, Communications and Applications",ACM
Computer Communication Review,ACM
ACM Journal on Emerging Technologies in Computing Systems,ACM
ACM Transactions on Management Information Systems,ACM
ACM Transactions on Reconfigurable Technology and Systems,ACM
Journal of Data and Information Quality,ACM
Computers in Entertainment,ACM
ACM SIGPLAN Notices,ACM
Transactions on Embedded Computing Systems,ACM
Transactions on Architecture and Code Optimization,ACM
"International Journal of Computers, Communications and Control",Agora University
Journal of Information Systems,American Accounting Association
AI Magazine,American Association for Artificial Intelligence (AAAI) Press
Journal of Chemical Theory and Computation,American Chemical Society
Journal of Chemical Information and Modeling,American Chemical Society
"Journal of Guidance, Control, and Dynamics",American Institute of Aeronautics and Astronautics
Inverse Problems and Imaging,American Institute of Mathematical Sciences
Discrete and Continuous Dynamical Systems,American Institute of Mathematical Sciences
Discrete and Continuous Dynamical Systems - Series B,American Institute of Mathematical Sciences
Networks and Heterogeneous Media,American Institute of Mathematical Sciences
Chaos,American Institute of Physics
Computing in Science and Engineering,American Institute of Physics
Journal of Mathematical Physics,American Institute of Physics
Library Resources and Technical Services,American Library Association
Information Technology and Libraries,American Library Association
Journal of the American Mathematical Society,American Mathematical Society
Memoirs of the American Mathematical Society,American Mathematical Society
Bulletin of the American Mathematical Society,American Mathematical Society
Mathematics of Computation,American Mathematical Society
Transactions of the American Mathematical Society,American Mathematical Society
Journal of Algebraic Geometry,American Mathematical Society
Mathematical Biosciences and Engineering,Arizona State University
Journal of Computing in Civil Engineering,ASCE
"Journal of Mechanical Design, Transactions Of the ASME",ASME
Journal of Computational and Nonlinear Dynamics,ASME
"Journal of Dynamic Systems, Measurement and Control, Transactions of the ASME",ASME
"Journal of Electronic Packaging, Transactions of the ASME",ASME
"Journal of Manufacturing Science and Engineering, Transactions of the ASME",ASME
Journal of Computing and Information Science in Engineering,ASME
Journal of the Association of Information Systems,Association for Information Systems
International Journal of Computational Intelligence Systems,Atlantis Press
Applied and Computational Mathematics,Azerbaycan Dovlet Iqtisad Universiteti
International Journal for Multiscale Computational Engineering,Begell House
Combinatorial Chemistry and High Throughput Screening,Bentham
Current Bioinformatics,Bentham
Multisensory research,Brill
Journal of Electronic Commerce Research,California State University Press
Acta Numerica,Cambridge University Press
APSIPA Transactions on Signal and Information Processing,Cambridge University Press
Knowledge Engineering Review,Cambridge University Press
Theory and Practice of Logic Programming,Cambridge University Press
"Artificial Intelligence for Engineering Design, Analysis and Manufacturing: AIEDAM",Cambridge University Press
Bulletin of Symbolic Logic,Cambridge University Press
ReCALL,Cambridge University Press
Robotica,Cambridge University Press
Natural Language Engineering,Cambridge University Press
Journal of Functional Programming,Cambridge University Press
Advances in Applied Probability,Cambridge University Press
European Journal of Applied Mathematics,Cambridge University Press
Journal of the Institute of Mathematics of Jussieu,Cambridge University Press
Mathematical Structures in Computer Science,Cambridge University Press
Compositio Mathematica,Cambridge University Press
Ergodic Theory and Dynamical Systems,Cambridge University Press
Bayesian Analysis,Carnegie Mellon University
International Journal of Artificial Intelligence,CESER Publications
Journal of Cheminformatics,Chemistry Central
Computer Science and Information Systems,ComSIS Consortium
Geoscientific Model Development,Copernicus
International Journal of Simulation Modelling,DAAAM International Vienna
"Symmetry, Integrability and Geometry: Methods and Applications (SIGMA)","Department of Applied Research, Institute of Mathematics of National Academy of Science of Ukraine"
Duke Mathematical Journal,Duke University Press
Journal of Theoretical and Applied Electronic Commerce Research,Editorial Universidad de Talca
ESAIM: Mathematical Modelling and Numerical Analysis,EDP Sciences
"ESAIM - Control, Optimisation and Calculus of Variations",EDP Sciences
Mathematical Modelling of Natural Phenomena,EDP Sciences
Physics of Life Reviews,Elsevier
Swarm and Evolutionary Computation,Elsevier
Medical Image Analysis,Elsevier
Computers and Education,Elsevier
Artificial Intelligence,Elsevier
Web Semantics,Elsevier
Pattern Recognition,Elsevier
Cognitive Psychology,Elsevier
Image and Vision Computing,Elsevier
Environmental Modelling and Software,Elsevier
Information Sciences,Elsevier
Information Fusion,Elsevier
Energy,Elsevier
Internet and Higher Education,Elsevier
Information Systems,Elsevier
Journal of Strategic Information Systems,Elsevier
Journal of Informetrics,Elsevier
Future Generation Computer Systems,Elsevier
Computer Speech and Language,Elsevier
Knowledge-Based Systems,Elsevier
Communications in Nonlinear Science and Numerical Simulation,Elsevier
International Journal of Information Management,Elsevier
Applied Soft Computing Journal,Elsevier
Expert Systems with Applications,Elsevier
Pervasive and Mobile Computing,Elsevier
Computers in Human Behavior,Elsevier
Advanced Engineering Informatics,Elsevier
Computer Physics Communications,Elsevier
Applied and Computational Harmonic Analysis,Elsevier
Computer Methods in Applied Mechanics and Engineering,Elsevier
Nonlinear Analysis: Real World Applications,Elsevier
Information and Management,Elsevier
Information and Software Technology,Elsevier
Computer Vision and Image Understanding,Elsevier
Journal of Biomedical Informatics,Elsevier
Nonlinear Analysis: Hybrid Systems,Elsevier
Control Engineering Practice,Elsevier
European Journal of Operational Research,Elsevier
Journal of Artificial Intelligence Research,Elsevier
Computers and Operations Research,Elsevier
Information and Organization,Elsevier
Journal of Memory and Language,Elsevier
Nano Communication Networks,Elsevier
Computers and Mathematics with Applications,Elsevier
Electronic Commerce Research and Applications,Elsevier
Mechanical Systems and Signal Processing,Elsevier
Annual Reviews in Control,Elsevier
Journal of Process Control,Elsevier
Speech Communication,Elsevier
Journal of Network and Computer Applications,Elsevier
Ocean Modelling,Elsevier
Signal Processing,Elsevier
Computer Science Review,Elsevier
Computers and Chemical Engineering,Elsevier
Decision Support Systems,Elsevier
International Journal of Approximate Reasoning,Elsevier
ISPRS Journal of Photogrammetry and Remote Sensing,Elsevier
Journal of Computational Physics,Elsevier
Computer Networks,Elsevier
Fuzzy Sets and Systems,Elsevier
Pattern Recognition Letters,Elsevier
Design Studies,Elsevier
Journal of Materials Processing Technology,Elsevier
Neural Networks,Elsevier
Robotics and Computer-Integrated Manufacturing,Elsevier
Systems and Control Letters,Elsevier
Transportation Research Part C: Emerging Technologies,Elsevier
Computers in Industry,Elsevier
International Journal of Human Computer Studies,Elsevier
Journal of Systems and Software,Elsevier
Journal of Theoretical Biology,Elsevier
Robotics and Autonomous Systems,Elsevier
Computers and Electronics in Agriculture,Elsevier
Engineering Applications of Artificial Intelligence,Elsevier
International Journal of Fatigue,Elsevier
Journal of Computational Science,Elsevier
Journal of the Franklin Institute,Elsevier
Computer Communications,Elsevier
Artificial Intelligence in Medicine,Elsevier
Parallel Computing,Elsevier
Computerized Medical Imaging and Graphics,Elsevier
Computers and Structures,Elsevier
Digital Signal Processing: A Review Journal,Elsevier
Mechatronics,Elsevier
Ad Hoc Networks,Elsevier
Computers and Industrial Engineering,Elsevier
Computers and Security,Elsevier
Chemometrics and Intelligent Laboratory Systems,Elsevier
International Journal of Solids and Structures,Elsevier
Journal of Computer and System Sciences,Elsevier
Simulation Modelling Practice and Theory,Elsevier
Journal of Mathematical Psychology,Elsevier
Applied Mathematical Modelling,Elsevier
BioSystems,Elsevier
CAD Computer Aided Design,Elsevier
Journal of Molecular Graphics and Modelling,Elsevier
Neurocomputing,Elsevier
Advances in Engineering Software,Elsevier
Ecological Informatics,Elsevier
Mechanism and Machine Theory,Elsevier
Performance Evaluation,Elsevier
Journal of Non-Newtonian Fluid Mechanics,Elsevier
"Nonlinear Analysis, Theory, Methods and Applications",Elsevier
Computational Materials Science,Elsevier
Computers and Geotechnics,Elsevier
Journal of Parallel and Distributed Computing,Elsevier
Library and Information Science Research,Elsevier
Physica D: Nonlinear Phenomena,Elsevier
Computer Methods and Programs in Biomedicine,Elsevier
Applied Mathematics Letters,Elsevier
Cognitive Systems Research,Elsevier
Computer Standards and Interfaces,Elsevier
Information Processing and Management,Elsevier
Photonics and Nanostructures - Fundamentals and Applications,Elsevier
Biomedical Signal Processing and Control,Elsevier
Computers and Geosciences,Elsevier
Journal of Complexity,Elsevier
Journal of Visual Communication and Image Representation,Elsevier
Physica A: Statistical Mechanics and its Applications,Elsevier
Signal Processing: Image Communication,Elsevier
Telecommunications Policy,Elsevier
Telematics and Informatics,Elsevier
Computers and Fluids,Elsevier
Computers and Graphics,Elsevier
Engineering Analysis with Boundary Elements,Elsevier
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire,Elsevier
Applied Mathematics and Computation,Elsevier
Finite Elements in Analysis and Design,Elsevier
International Journal of Critical Infrastructure Protection,Elsevier
Digital Investigation,Elsevier
Journal of Computational and Applied Mathematics,Elsevier
Computational Biology and Chemistry,Elsevier
"European Journal of Mechanics, B/Fluids",Elsevier
International Journal of Non-Linear Mechanics,Elsevier
Computational Statistics and Data Analysis,Elsevier
Computers in Biology and Medicine,Elsevier
Journal of Differential Equations,Elsevier
Calphad: Computer Coupling of Phase Diagrams and Thermochemistry,Elsevier
Mathematical Biosciences,Elsevier
Science of Computer Programming,Elsevier
Information and Computation,Elsevier
Mathematics and Computers in Simulation,Elsevier
Theoretical and Applied Fracture Mechanics,Elsevier
Computers and Electrical Engineering,Elsevier
"Integration, the VLSI Journal",Elsevier
Journal of Cultural Heritage,Elsevier
Journal of Functional Analysis,Elsevier
Journal of Manufacturing Systems,Elsevier
Wave Motion,Elsevier
Advances in Mathematics,Elsevier
Computational Geometry: Theory and Applications,Elsevier
Computer Aided Geometric Design,Elsevier
Insurance: Mathematics and Economics,Elsevier
Journal des Mathematiques Pures et Appliquees,Elsevier
Journal of Economic Dynamics and Control,Elsevier
Sustainable Computing: Informatics and Systems,Elsevier
Annales Scientifiques de l'Ecole Normale Superieure,Elsevier
Applied Numerical Mathematics,Elsevier
Displays,Elsevier
Flow Measurement and Instrumentation,Elsevier
Journal of Combinatorial Theory. Series B,Elsevier
"Chaos, Solitons and Fractals",Elsevier
Clinical Simulation in Nursing,Elsevier
Discrete Optimization,Elsevier
Journal of Mathematical Analysis and Applications,Elsevier
Journal of Pragmatics,Elsevier
Journal of Rail Transport Planning and Management,Elsevier
Entertainment Computing,Elsevier
"Genomics, Proteomics and Bioinformatics",Elsevier
Graphical Models,Elsevier
Journal of Multivariate Analysis,Elsevier
Theoretical Computer Science,Elsevier
Advances in Applied Mathematics,Elsevier
Journal of Geometry and Physics,Elsevier
Journal of Symbolic Computation,Elsevier
Journal of Systems Architecture,Elsevier
Optical Switching and Networking,Elsevier
Journal of Choice Modelling,Elsevier
Journal of Combinatorial Theory - Series A,Elsevier
Journal of Discrete Algorithms,Elsevier
Linear Algebra and Its Applications,Elsevier
Stochastic Processes and their Applications,Elsevier
Expositiones Mathematicae,Elsevier
Information Processing Letters,Elsevier
Journal of Statistical Planning and Inference,Elsevier
Spatial Statistics,Elsevier
Discrete Applied Mathematics,Elsevier
European Journal of Combinatorics,Elsevier
Journal of Approximation Theory,Elsevier
Microprocessors and Microsystems,Elsevier
Industrial Management and Data Systems,Emerald
Journal of Documentation,Emerald
Engineering Computations,Emerald
Online Information Review,Emerald
"Transforming Government: People, Process and Policy",Emerald
Information Technology and People,Emerald
Journal of Enterprise Information Management,Emerald
Journal of Manufacturing Technology Management,Emerald
Electronic Library,Emerald
Library Hi Tech,Emerald
Information and Computer Security,Emerald
International Journal of Numerical Methods for Heat and Fluid Flow,Emerald
Industrial Robot,Emerald
International Journal of Intelligent Computing and Cybernetics,Emerald
Journal of Object Technology,EtH Zurich
Journal of the European Mathematical Society,European Mathematical Society Publishing House
Commentarii Mathematici Helvetici,European Mathematical Society Publishing House
Revista Matematica Iberoamericana,European Mathematical Society Publishing House
"Journal of Numerical Analysis, Industrial and Applied Mathematics",European Society of Computational Methods in Sciences and Engineering
Frontiers in Neurorobotics,Frontiers Media S.A.
Frontiers in Neuroinformatics,Frontiers Media S.A.
Advanced Studies in Contemporary Mathematics (Kyungshang),Guduk Co.
Computational Intelligence and Neuroscience,Hindawi
Mobile Information Systems,Hindawi
Scientific Programming,Hindawi
Complexity,Hindawi
Advances in Human-Computer Interaction,Hindawi
International Journal of Telemedicine and Applications,Hindawi
Journal of Advanced Transportation,Hindawi
Wireless Communications and Mobile Computing,Hindawi
International Journal of Reconfigurable Computing,Hindawi
IBM Journal of Research and Development,IBM Corp.
IET Image Processing,IEE
IEEE Transactions on Pattern Analysis and Machine Intelligence,IEEE
IEEE Transactions on Evolutionary Computation,IEEE
Proceedings of the IEEE,IEEE
IEEE Transactions on Fuzzy Systems,IEEE
IEEE Communications Magazine,IEEE
IEEE Wireless Communications,IEEE
IEEE Transactions on Smart Grid,IEEE
IEEE Journal on Selected Topics in Signal Processing,IEEE
IEEE Network,IEEE
IEEE Transactions on Neural Networks and Learning Systems,IEEE
IEEE Transactions on Services Computing,IEEE
IEEE Transactions on Medical Imaging,IEEE
IEEE Transactions on Industrial Informatics,IEEE
IEEE Transactions on Affective Computing,IEEE
IEEE Transactions on Automatic Control,IEEE
IEEE Transactions on Image Processing,IEEE
IEEE Transactions on Robotics,IEEE
IEEE Transactions on Software Engineering,IEEE
IEEE Journal on Selected Areas in Communications,IEEE
IEEE Transactions on Signal Processing,IEEE
IEEE Transactions on Mobile Computing,IEEE
IEEE/ASME Transactions on Mechatronics,IEEE
IEEE Computational Intelligence Magazine,IEEE
IEEE Transactions on Human-Machine Systems,IEEE
IEEE Transactions on Intelligent Transportation Systems,IEEE
IEEE Journal of Biomedical and Health Informatics,IEEE
IEEE Transactions on Computational Intelligence and AI in Games,IEEE
IEEE Transactions on Information Theory,IEEE
IEEE Transactions on Knowledge and Data Engineering,IEEE
IEEE Transactions on Vehicular Technology,IEEE
IEEE Transactions on Wireless Communications,IEEE
IEEE Micro,IEEE
IEEE/ACM Transactions on Networking,IEEE
IEEE Transactions on Information Forensics and Security,IEEE
IEEE Robotics and Automation Magazine,IEEE
IEEE Circuits and Systems Magazine,IEEE
IEEE Pervasive Computing,IEEE
IEEE Transactions on Parallel and Distributed Systems,IEEE
IEEE Internet Computing,IEEE
IEEE Transactions on Visualization and Computer Graphics,IEEE
IEEE Design and Test,IEEE
IEEE Transactions on Dependable and Secure Computing,IEEE
IEEE Transactions on Learning Technologies,IEEE
IEEE Transactions on Multimedia,IEEE
IEEE Transactions on Haptics,IEEE
IEEE Control Systems,IEEE
IEEE Intelligent Systems,IEEE
IEEE Signal Processing Letters,IEEE
IEEE Systems Journal,IEEE
IEEE Computer Architecture Letters,IEEE
IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,IEEE
IEEE Transactions on Computers,IEEE
IEEE Transactions on Nanotechnology,IEEE
IEEE Multimedia,IEEE
IEEE Security and Privacy,IEEE
IEEE Transactions on Very Large Scale Integration (VLSI) Systems,IEEE
IEEE/ACM Transactions on Computational Biology and Bioinformatics,IEEE
IEEE Software,IEEE
IEEE Communications Letters,IEEE
IEEE Transactions on Nanobioscience,IEEE
