Source title,CiteScore,Highest percentile,2015-18 Citations,2015-18 Documents,% Cited,SNIP,SJR,Publisher,ISSN
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,36.7,"99.0%
1/364
Software",81519,2221,79,23.685,8.073,,10636919
Journal of Statistical Software,35.5,"99.0%
1/223
Statistics and Probability",11841,334,71,14.073,17.569,University of California Press,15487660
Physics of Life Reviews,31.9,"99.0%
1/196
General Agricultural and Biological Sciences",1339,42,100,4.704,2.691,Elsevier,15710645
Proceedings of the IEEE International Conference on Computer Vision,26.6,"99.0%
3/364
Software",33950,1278,94,10.02,4.81,,00000000
IEEE Transactions on Pattern Analysis and Machine Intelligence,25.6,"99.0%
1/482
Applied Mathematics",20347,796,91,9.977,3.764,IEEE,01628828
International Journal of Computer Vision,24.1,"98.0%
5/364
Software",8024,333,85,8.468,3.595,Springer Nature,09205691
Foundations and Trends in Communications and Information Theory,21.6,"99.0%
1/295
Computer Networks and Communications",151,7,86,2.482,2.75,Now Publishers Inc.,15672190
Foundations and Trends in Machine Learning,20.9,"99.0%
1/101
Human-Computer Interaction",272,13,77,9.115,5.002,Now Publishers Inc.,19358237
IEEE Communications Magazine,19.3,"99.0%
1/590
Computer Science Applications",24145,1249,83,4.903,2.373,IEEE,01636804
IEEE Transactions on Evolutionary Computation,19.1,"99.0%
1/118
Theoretical Computer Science",4713,247,94,4.944,2.968,IEEE,1089778X
Information Fusion,18,"99.0%
1/287
Information Systems",5494,306,96,4.465,2.238,Elsevier,15662535
IEEE Transactions on Cybernetics,17.7,"99.0%
1/239
Control and Systems Engineering",20165,1138,93,3.634,3.548,IEEE,21682267
IEEE Wireless Communications,17.4,"99.0%
3/590
Computer Science Applications",7517,433,84,4.212,2.352,IEEE,15361284
Wiley Interdisciplinary Reviews: Computational Molecular Science,17.3,"99.0%
1/150
Computational Mathematics",2298,133,98,2.528,3.025,Wiley-Blackwell,17590876
Acta Numerica,17.2,"99.0%
1/344
General Mathematics",361,21,86,7.612,4.843,Cambridge University Press,09624929
Proceedings of the IEEE,16.8,"98.0%
9/669
Electrical and Electronic Engineering",9791,584,81,4.889,1.593,IEEE,00189219
Foundations and Trends in Computer Graphics and Vision,16.7,"94.0%
5/81
Computer Vision and Pattern Recognition",100,6,83,6.848,3.441,World Scientific,15722740
IEEE Journal on Selected Areas in Communications,16.5,"99.0%
3/295
Computer Networks and Communications",15289,924,89,3.461,2.294,IEEE,07338716
ACM Computing Surveys,15.8,"99.0%
1/211
General Computer Science",5898,374,88,5.916,1.503,ACM,03600300
MIS Quarterly: Management Information Systems,15.6,"99.0%
1/108
Information Systems and Management",3174,204,82,3.824,4.212,University of Minnesota,02767783
npj Quantum Information,15.5,"99.0%
1/58
Computer Science (miscellaneous)",946,61,93,2.595,3.929,Springer Nature,00000000
IEEE Network,14.8,"99.0%
2/153
Hardware and Architecture",5013,338,88,3.413,1.771,IEEE,08908044
