Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Author Keywords,Index Keywords,Funding Details,Document Type,Access Type,Source
"7005761060;7103077052;35570932900;6507134627;8943257000;20434008800;7103412311;7404556806;","Changes in the global value of ecosystem services",2014,"Global Environmental Change",1652,"10.1016/j.gloenvcha.2014.04.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901406973&doi=10.1016%2fj.gloenvcha.2014.04.002&partnerID=40&md5=e6e5c630b7377721182c855d5775d3f6","Ecosystem services; Global value; Monetary units; Natural capital","climate change; currency devaluation; decision making; ecosystem service; institutional framework; land use change; natural capital; privatization; public goods; valuation","",Article,,Scopus
"55208899700;55907170700;","Auto-encoding variational bayes",2014,"2nd International Conference on Learning Representations, ICLR 2014 - Conference Track Proceedings",1600,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083952489&partnerID=40&md5=3d871b7aba84e04275e4a97ba3b95934",,"Gradient methods; Inference engines; Learning algorithms; Probability distributions; Signal encoding; Stochastic systems; Approximate inference; Posterior distributions; Probabilistic models; Recognition models; Reparameterization; Stochastic gradient methods; Variational bayes; Variational inference; Large dataset",,Conference Paper,,Scopus
"7006846142;6602130856;14010177600;35615570800;57205846145;7402164104;7102469262;47461500800;7006544085;6506688915;56590437700;25621905400;6505961076;7006721278;56205928000;56204875600;6701622275;","Youth risk behavior surveillance - United States, 2013",2014,"MMWR Surveillance Summaries",979,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902509800&partnerID=40&md5=bb153497455be226b7a605f3b8c7352e",,"adolescent; adolescent behavior; article; behavioral risk factor surveillance system; child; female; health behavior; high risk behavior; human; male; psychological aspect; United States; young adult; Adolescent; Adolescent Behavior; Behavioral Risk Factor Surveillance System; Child; Female; Health Behavior; Humans; Male; Risk-Taking; United States; Young Adult",,Article,,Scopus
"56349787400;51664755300;15043692000;","A convolutional neural network for modelling sentences",2014,"52nd Annual Meeting of the Association for Computational Linguistics, ACL 2014 - Proceedings of the Conference",978,"10.3115/v1/p14-1062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906922163&doi=10.3115%2fv1%2fp14-1062&partnerID=40&md5=b5eaed8a26aa7d372c99eb6448e8ba9a",,"Classification (of information); Computational linguistics; Neural networks; Semantics; Convolutional neural network; Error reduction; Language understanding; Linear sequence; Parse trees; Question classification; Semantic modelling; Small scale; Convolution",,Conference Paper,,Scopus
"7005578774;7005231450;6602232676;55768583400;15729555500;7003548766;7102636633;","Global warming and changes in drought",2014,"Nature Climate Change",901,"10.1038/nclimate2067","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84890936362&doi=10.1038%2fnclimate2067&partnerID=40&md5=3c2fa6125d5c75d858c20a989b767c46",,"assessment method; data set; drought; El Nino-Southern Oscillation; evapotranspiration; global warming; heating; La Nina; precipitation (climatology)","NE/G018863/1

DE-SC0005689",Review,,Scopus
"35332732200;7202355431;7003776603;8710792600;35233076600;","Standards for reporting qualitative research: A synthesis of recommendations",2014,"Academic Medicine",897,"10.1097/ACM.0000000000000388","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908022244&doi=10.1097%2fACM.0000000000000388&partnerID=40&md5=1b51ac8d7e3a1902f2ea780a62c5456f",,"article; methodology; publishing; qualitative research; research; standard; Publishing; Qualitative Research; Research Design; Research Report",,Article,Open Access,Scopus
"6701575189;36476278400;23091274400;6507672738;","A comprehensive survey: Artificial bee colony (ABC) algorithm and applications",2014,"Artificial Intelligence Review",882,"10.1007/s10462-012-9328-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901190234&doi=10.1007%2fs10462-012-9328-0&partnerID=40&md5=8d4baabb8dcaa27854cfd5dc4a3cb035","Artificial bee colony algorithm; Bee swarm intelligence; Swarm intelligence","Ant colony optimization; Artificial intelligence; Evolutionary algorithms; Fish; Food products; Surveys; Artificial bee colonies (ABC); Artificial bee colony algorithms; Artificial bee colony algorithms (ABC); Collective behaviour; Honey bee swarms; Real-world problem; Self-organization features; Swarm Intelligence; Research",,Article,,Scopus
[No author id available],"Prevalence of autism spectrum disorder among children aged 8 years - autism and developmental disabilities monitoring network, 11 sites, United States, 2010.",2014,"Morbidity and mortality weekly report. Surveillance summaries (Washington, D.C. : 2002)",867,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898957499&partnerID=40&md5=63fa695db60a4b463dee59fec8467391",,"article; autism; child; ethnic group; ethnology; female; health survey; human; male; methodology; prevalence; sex ratio; statistics; United States; Child; Child Development Disorders, Pervasive; Ethnic Groups; Female; Humans; Male; Population Surveillance; Prevalence; Sex Distribution; United States",,Article,,Scopus
"56926916000;55235001800;55235373700;26323725500;6603902192;35519797700;57203832939;55993518000;25123075500;57197603620;35445598100;16549198600;","Levels of selected carcinogens and toxicants in vapour from electronic cigarettes",2014,"Tobacco Control",852,"10.1136/tobaccocontrol-2012-050859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84893908308&doi=10.1136%2ftobaccocontrol-2012-050859&partnerID=40&md5=35e774921d71e73553750f43fb3ce702",,"carcinogen; heavy metal; nicotine; nitrosamine; toxic substance; volatile organic compound; article; chemistry; drug delivery system; electronic nicotine delivery devices; electronics; harm reduction; human; inhalational drug administration; smoking; tobacco; toxicology; Carcinogens; Electronic nicotine delivery devices; Harm Reduction; Toxicology; Administration, Inhalation; Carcinogens; Drug Delivery Systems; Electronics; Harm Reduction; Humans; Metals, Heavy; Nicotine; Nitrosamines; Noxae; Smoking; Tobacco; Tobacco Products; Toxicology; Volatile Organic Compounds",,Article,,Scopus
"26642984800;","The real-time city? Big data and smart urbanism",2014,"GeoJournal",849,"10.1007/s10708-013-9516-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894317469&doi=10.1007%2fs10708-013-9516-8&partnerID=40&md5=97eb48d5492f43979c821a3d8444a3c8","Big data; Data analytics; Governance; Real-time analysis; Smart cities; Ubiquitous computing; Urbanism",,,Article,,Scopus
"57202674289;57196073118;7006851996;","G-mmpbsa -A GROMACS tool for high-throughput MM-PBSA calculations",2014,"Journal of Chemical Information and Modeling",848,"10.1021/ci500020m","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904964377&doi=10.1021%2fci500020m&partnerID=40&md5=37119df581a40ed9a2f7ff804945be74",,"Binding energy; Molecular dynamics; Solvents; Biomolecular interactions; Energy contribution; HIV-1 protease inhibitors; Interaction energies; Interaction free energies; Molecular dynamics simulations; Poisson Boltzmann surface areas (PBSA); Solvent accessible surface areas; Complexation; Human immunodeficiency virus proteinase; Human immunodeficiency virus proteinase inhibitor; p16 protease, Human immunodeficiency virus 1; solvent; chemistry; drug development; metabolism; molecular dynamics; procedures; thermodynamics; Drug Discovery; HIV Protease; HIV Protease Inhibitors; Molecular Dynamics Simulation; Solvents; Thermodynamics",,Article,,Scopus
"24777391900;55365491800;56025138200;55049376400;14821791600;55666793600;","Overfeat: Integrated recognition, localization and detection using convolutional networks",2014,"2nd International Conference on Learning Representations, ICLR 2014 - Conference Track Proceedings",813,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083951635&partnerID=40&md5=4e57632a4f16a30f2f7a80ca3b7919ea",,"Convolution; Convolutional networks; Detection tasks; Feature extractor; Integrated frameworks; Learning approach; Object boundaries; State of the art; Visual recognition; Deep learning",,Conference Paper,,Scopus
"7005746699;7102941427;","Ward’s Hierarchical Agglomerative Clustering Method: Which Algorithms Implement Ward’s Criterion?",2014,"Journal of Classification",807,"10.1007/s00357-014-9161-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919917563&doi=10.1007%2fs00357-014-9161-z&partnerID=40&md5=924456bf2c5b07b3f6569ac84cd68b44","Hierarchical clustering; Lance-Williams; Minimum variance; Statistical software; Ward",,,Article,,Scopus
