Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2013);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;19434;"MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports / Centers for Disease Control";journal;"10575987, 15458601";17,297;Q1;138;11;8;1577;229;8;31,00;143,36;United States;Northern America;"Centers for Disease Control and Prevention (CDC)";"1990-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
2;15557;"American Political Science Review";journal;"15375943, 00030554";10,769;Q1;167;54;143;3763;866;131;5,52;69,69;United Kingdom;Western Europe;"Cambridge University Press";"1906-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
3;16036;"Administrative Science Quarterly";journal;"00018392, 19303815";9,319;Q1;175;20;57;1852;363;51;2,83;92,60;United States;Northern America;"Johnson School at Cornell University";"1975-1987, 1989-1990, 1993-1994, 1996-2020";"Arts and Humanities (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)"
4;15555;"American Journal of Political Science";journal;"00925853, 15405907";7,545;Q1;161;65;192;3646;849;187;3,20;56,09;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1982, 1986, 1996-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
5;24204;"Review of Economics and Statistics";journal;"00346535, 15309142";7,192;Q1;153;117;258;4924;1046;255;3,56;42,09;United States;Northern America;"MIT Press Journals";"1978-2020";"Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1)"
6;145558;"Political Analysis";journal;"10471987, 14764989";6,469;Q1;64;31;84;1569;343;78;3,61;50,61;United Kingdom;Western Europe;"Cambridge University Press";"1989-1993, 2004-2020";"Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
7;22899;"Journal of Consumer Research";journal;"00935301, 15375277";6,242;Q1;167;82;239;4946;1282;231;3,52;60,32;United Kingdom;Western Europe;"Oxford University Press";"1977-1978, 1984, 1996-2020";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)"
8;110092;"MMWR. Morbidity and mortality weekly report";journal;"01492195, 1545861X";5,981;Q1;195;268;954;1883;7834;761;10,31;7,03;United States;Northern America;"Department of Health and Human Services";"1981-2020";"Epidemiology (Q1); Health Information Management (Q1); Health (social science) (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1)"
9;21100198409;"Nature Climate Change";journal;"17586798, 1758678X";5,871;Q1;160;282;458;6661;3045;242;12,58;23,62;United Kingdom;Western Europe;"Nature Publishing Group";"2011-2020";"Environmental Science (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1)"
10;16929;"American Sociological Review";journal;"00031224, 19398271";5,835;Q1;185;44;131;3490;822;124;5,54;79,32;United States;Northern America;"American Sociological Association";"1965-2020";"Sociology and Political Science (Q1)"
